legacy_id,legacy_student_id,legacy_cycle_id,cycle_code,education_level_code,grade_sort_order,classification_code,status,enrolled_on,classes_start_on,closed_on,academic_participation_override
25-26:317e5fd7-d8e6-4476-b348-a0a726649924,317e5fd7-d8e6-4476-b348-a0a726649924,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:3523dbd3-f616-4c1d-9a52-db64d88e0b23,3523dbd3-f616-4c1d-9a52-db64d88e0b23,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:37b6c311-9c1a-461e-a70b-d93557cdbc0d,37b6c311-9c1a-461e-a70b-d93557cdbc0d,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:3c1c4ba3-2fb1-42d4-bb72-bf84b00d517c,3c1c4ba3-2fb1-42d4-bb72-bf84b00d517c,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:3f41b6c5-35cb-41d3-a974-762ad0f1c7f3,3f41b6c5-35cb-41d3-a974-762ad0f1c7f3,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,6,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:3f6663d7-9b89-4ea2-9f06-5035caff6390,3f6663d7-9b89-4ea2-9f06-5035caff6390,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:40dc866f-fce4-4635-bf68-fa98f8b87c6e,40dc866f-fce4-4635-bf68-fa98f8b87c6e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,BAJA,2025-09-01,2025-09-01,,
25-26:4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6,4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:533aa94a-8eb8-436d-82ac-cb0d104f816e,533aa94a-8eb8-436d-82ac-cb0d104f816e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:54a3ac62-0b3d-4d6f-ae14-f7adec420285,54a3ac62-0b3d-4d6f-ae14-f7adec420285,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,6,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:562676d8-327a-4012-97e1-f0cfefc685b0,562676d8-327a-4012-97e1-f0cfefc685b0,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:58676041-fe76-4791-9f8b-7bc1dad83cb8,58676041-fe76-4791-9f8b-7bc1dad83cb8,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:58d1397f-6c2f-4806-874f-04e5ac218830,58d1397f-6c2f-4806-874f-04e5ac218830,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:58f5f801-a774-4b45-8960-aec7b7127187,58f5f801-a774-4b45-8960-aec7b7127187,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:5af22e45-f9f7-4577-b07b-7ce4a7940329,5af22e45-f9f7-4577-b07b-7ce4a7940329,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:5cb7777e-5664-4929-b875-cddff5a7c18c,5cb7777e-5664-4929-b875-cddff5a7c18c,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:61565b9f-a82a-49cf-aa9f-3e7df8d7889c,61565b9f-a82a-49cf-aa9f-3e7df8d7889c,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:61ed3b0d-3542-46bc-a02d-4f73b36cffd3,61ed3b0d-3542-46bc-a02d-4f73b36cffd3,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:64b7b8c4-c418-4b27-8aa7-31c44d2850f4,64b7b8c4-c418-4b27-8aa7-31c44d2850f4,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,1,CAMPUS,ACTIVA,2025-09-01,2025-09-01,,
25-26:6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:69450844-df68-4eb9-a465-967c31417074,69450844-df68-4eb9-a465-967c31417074,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:6a9b25d0-e6e4-4cf2-94ef-4ba0a59c5b2d,6a9b25d0-e6e4-4cf2-94ef-4ba0a59c5b2d,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:6d484f92-07ed-4ef5-acde-ed43c7314527,6d484f92-07ed-4ef5-acde-ed43c7314527,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:6f2f8410-2704-4938-8538-21edb5b8221a,6f2f8410-2704-4938-8538-21edb5b8221a,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:7392fe19-c6bd-489a-9cf5-3f6861139603,7392fe19-c6bd-489a-9cf5-3f6861139603,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,1,CAMPUS,ACTIVA,2025-09-01,2025-09-01,,
25-26:79810b5e-1376-4f47-8619-11c72b08a14e,79810b5e-1376-4f47-8619-11c72b08a14e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:7babc8a8-10d3-41e2-bb40-868a18dc2300,7babc8a8-10d3-41e2-bb40-868a18dc2300,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:7c1e9bdc-6090-4313-a14b-1a94d13eeec8,7c1e9bdc-6090-4313-a14b-1a94d13eeec8,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:7dbf3c47-1f14-4b4a-b594-ec98e68218b0,7dbf3c47-1f14-4b4a-b594-ec98e68218b0,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a,81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,1,CAMPUS,ACTIVA,2025-09-01,2025-09-01,,
25-26:83744ef9-a5f4-4c6a-9c81-a6ea4f9507cf,83744ef9-a5f4-4c6a-9c81-a6ea4f9507cf,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:845acc82-5357-4263-a24c-e03f7ea60a49,845acc82-5357-4263-a24c-e03f7ea60a49,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:84e478c3-33cf-44e4-a8d3-2fa0be7ff15d,84e478c3-33cf-44e4-a8d3-2fa0be7ff15d,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:8526d610-1516-448b-80fe-67bed0d43c11,8526d610-1516-448b-80fe-67bed0d43c11,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:8568473f-3a83-4adb-8aed-358e4481b99c,8568473f-3a83-4adb-8aed-358e4481b99c,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
