severity,type,legacy_id,details
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,7392fe19-c6bd-489a-9cf5-3f6861139603,2026-01; first tuition valid from 2026-02-03
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,9ace76f4-cf42-4715-ba18-951ec5af9103,SEP; using 2026-01-27
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,9ace76f4-cf42-4715-ba18-951ec5af9103,2025-09; first tuition valid from 2026-01-27
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,9ace76f4-cf42-4715-ba18-951ec5af9103,OCT; using 2026-01-27
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,9ace76f4-cf42-4715-ba18-951ec5af9103,2025-10; first tuition valid from 2026-01-27
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,9ace76f4-cf42-4715-ba18-951ec5af9103,NOV; using 2026-01-27
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,9ace76f4-cf42-4715-ba18-951ec5af9103,2025-11; first tuition valid from 2026-01-27
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,9ace76f4-cf42-4715-ba18-951ec5af9103,DIC/JUL; using 2026-01-27
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,9ace76f4-cf42-4715-ba18-951ec5af9103,2025-12; first tuition valid from 2026-01-27
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,9ace76f4-cf42-4715-ba18-951ec5af9103,ENE; using 2026-01-27
INFO,VERIFIED_FREE_ENTRY_MONTH_SKIPPED,9ace76f4-cf42-4715-ba18-951ec5af9103,A-0107; 2026-01
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,SEP; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2025-09; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,OCT; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2025-10; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,NOV; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2025-11; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,DIC/JUL; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2025-12; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,ENE; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2026-01; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,FEB; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2026-02; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,MAR/AGO; using 2026-04-13
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,2026-03; first tuition valid from 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,ABR; using 2026-04-13
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,SEP; using 2026-02-03
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,2025-09; first tuition valid from 2026-02-03
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,OCT; using 2026-02-03
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,2025-10; first tuition valid from 2026-02-03
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,NOV; using 2026-02-03
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,2025-11; first tuition valid from 2026-02-03
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,DIC/JUL; using 2026-02-03
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,2025-12; first tuition valid from 2026-02-03
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,ENE; using 2026-02-03
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,2026-01; first tuition valid from 2026-02-03
INFO,LATE_ENTRY_PRICE_USED_FOR_VALID_COMPONENTS,e5a7742b-06e9-4add-a1c7-4049a93b2b75,SEP; using 2025-11-03
INFO,LATE_ENTRY_TUITION_MONTH_SKIPPED,e5a7742b-06e9-4add-a1c7-4049a93b2b75,2025-09; first tuition valid from 2025-11-03
